track,baseline_corr,baseline_lag,exp03_corr,exp03_lag
mBR0_,0.23437991549229895,-6,0.11281109940880372,-15
mBR1_,0.23468316898924005,14,0.10877912288415478,-13
mBR2_,0.22381584723686312,-14,0.05655975291821169,1
mBR3_,0.16403188518410894,-12,0.12612242029943307,-10
mBR4_,0.07878746592767981,-11,0.13072827785876937,-15
mBR5_,0.09232236741864439,-2,0.1580611570439648,-1
mHO0_,0.09774102861522632,5,0.1011229193035165,9
mHO1_,0.12430834822398401,11,0.23297892841464524,-10
mHO2_,0.1537183200476893,-7,0.2143861171164766,-14
mHO3_,0.12972524612377345,10,0.2907541375990694,2
mHO4_,0.07596245266766899,0,0.007978711114900342,1
mHO5_,0.13337291031808424,-5,0.2916744898834817,4
mJB0_,0.07134689645300687,15,0.21555737086841903,14
mJB1_,0.07108581706363912,-8,0.24311160727763395,1
mJB2_,0.18612704737255267,14,0.18113856959708494,1
mJB3_,0.2716165539070702,11,0.5708163787836503,8
mJB4_,0.14436107283537075,7,0.2068682935466342,-10
mJB5_,0.131929190477987,6,0.15041409984255594,-7
mJS0_,0.07759016989450951,-9,0.18095042499811675,-7
mJS1_,0.19767169301453366,2,0.18088120877318348,3
mJS2_,0.1792324179386806,-15,0.18494798170554452,0
mJS3_,0.1135834610771088,13,0.20627487551358056,-11
mJS4_,0.11862644945365025,-1,0.13915683055493852,-13
mJS5_,0.15432778617838494,13,0.10994429739628961,-15
mKR0_,0.08305267650754945,-15,0.07536346185814043,-11
mKR1_,0.10387868941066916,-6,0.19222171744001,-8
mKR2_,0.07400406208347808,-2,0.0653266183637795,13
mKR3_,0.19966769754649688,-8,0.16579515627948035,5
mKR4_,0.11841721110331505,15,0.08789704307897159,-4
mKR5_,0.1264230677757963,-1,0.06737861753253488,8
mLH0_,0.17027428877182843,-7,0.13918112656411072,-11
mLH1_,0.45140609027212764,11,0.1891530426573741,13
mLH2_,0.1241883014370227,15,0.18108851120624156,8
mLH3_,0.16805412665237587,13,0.13565992890105458,11
mLH4_,0.07963501381216787,3,0.19726524440215884,14
mLH5_,0.2378096583674471,5,0.23284408371159201,-5
mLO0_,0.17277283900199147,-12,0.09001117191527926,14
mLO1_,0.20315991422780602,-7,0.028177525246940914,-8
mLO2_,0.11292784294276977,-6,0.1301387041840094,9
mLO3_,0.146984471553452,1,0.1604735048956726,-5
mLO4_,0.10847153175453568,-15,0.09766386726315736,0
mLO5_,0.12741630135719903,-7,0.06099270727444545,1
mMH0_,0.1094862603208118,10,0.20943196445727538,11
mMH1_,0.20791361722846471,-8,0.15410025656637114,10
mMH2_,0.21685909111012286,-13,0.258983782381796,-14
mMH3_,0.2190609978956815,2,0.12203514683159908,3
mMH4_,0.10638681916473072,13,0.09021826198330676,-4
mMH5_,0.1871046936397812,14,0.08489901072952938,-6
mPO0_,0.166151292760695,-12,0.25533811225891057,6
mPO1_,0.23927948421550133,-2,0.14978862578326,-5
mPO2_,0.12397152652728773,5,0.20482993563049484,-11
mPO3_,0.2509607365631176,11,0.04950420922598586,-6
mPO4_,0.07555428704234622,-2,0.158383663945537,-10
mPO5_,0.16756604583301837,-1,0.18836326401359743,13
mWA0_,0.2610864187013755,-15,0.10651645490960243,3
mWA1_,0.1745763352950272,-3,0.16661403248273726,-2
mWA2_,0.17010502420139598,3,0.309315503626726,1
mWA3_,0.24734115327139278,13,0.13784456158687958,-6
mWA4_,0.0962980535429112,14,0.14234844913091538,-1
mWA5_,0.018154750166502854,5,0.10742227541716619,0
