track,baseline_corr,baseline_best_lag_frames,rhythm_corr,rhythm_best_lag_frames
mBR0_,0.23437993104158522,-6,0.1494550991895363,9
mBR1_,0.2346831841216211,14,0.12826302294697228,9
mBR2_,0.22381584648384922,-14,0.0692228633990392,-15
mBR3_,0.1640318785842932,-12,0.19374067190523833,-11
mBR4_,0.07878746810646496,-11,0.05307138807994811,7
mBR5_,0.09232236893983728,-2,0.2664822473336075,-2
mHO0_,0.09774104325201173,5,0.17940467925011647,13
mHO1_,0.12430834268769111,11,0.1561367099226121,-15
mHO2_,0.1537183043628782,-7,0.2804158405889957,2
mHO3_,0.12972525225785528,10,0.13692840198390602,-13
mHO4_,0.07596245021347457,0,0.16044873364416978,10
mHO5_,0.13337289850733156,-5,0.05513194263500028,-11
mJB0_,0.07134692888198953,15,0.18708911903430459,3
mJB1_,0.07108580338955624,-8,0.13351133763807244,-9
mJB2_,0.18612706035588922,14,0.1417688397484001,13
mJB3_,0.2716165357469251,11,0.11765608899305388,14
mJB4_,0.14436105416088185,7,0.15452419412456958,-6
mJB5_,0.1319291570979775,6,0.18847990349497823,15
mJS0_,0.07759018063049576,-9,0.24692578395432532,0
mJS1_,0.19767169337559792,2,0.1388323646411992,0
mJS2_,0.17923243673782716,-15,0.18851654328561673,4
mJS3_,0.11358346376497828,13,0.18479700189736642,8
mJS4_,0.1186264407326901,-1,0.27312612366471584,7
mJS5_,0.15432778475456077,13,0.17989020276577194,15
mKR0_,0.08305267342825114,-15,0.05363953004729069,-3
mKR1_,0.10387868638480673,-6,0.14011235417644,-1
mKR2_,0.0740040640198312,-2,0.25913189855086416,4
mKR3_,0.19966768844990077,-8,0.23461330892750326,-5
mKR4_,0.11841722479925489,15,0.17514989366237543,13
mKR5_,0.12642306147856971,-1,0.12498940673514121,9
mLH0_,0.17027425919249575,-7,0.259974184923307,-8
mLH1_,0.4514060812820605,11,0.13719141638916732,12
mLH2_,0.12418829275208403,15,0.2875946853022608,0
mLH3_,0.16805413237366276,13,0.15520752054553408,-10
mLH4_,0.07963502127171843,3,0.21553124679496333,0
mLH5_,0.23780964708893318,5,0.2710008598980624,-5
mLO0_,0.17277283282013348,-12,0.13938487905500271,11
mLO1_,0.20315990694766586,-7,0.08613301127682846,6
mLO2_,0.11292783147913094,-6,0.12094960355282747,-1
mLO3_,0.14698448087335883,1,0.17231116862113446,-4
mLO4_,0.10847151978059151,-15,0.18286623563238105,13
mLO5_,0.12741628007007677,-7,0.08723715087605315,-6
mMH0_,0.10948626245422524,10,0.11685321533656468,-10
mMH1_,0.20791362799585228,-8,0.19833941321980497,-15
mMH2_,0.21685908271042173,-13,0.2334068585743518,-13
mMH3_,0.21906099378820537,2,0.13472590140248353,6
mMH4_,0.10638683831642565,13,0.23273531154141683,3
mMH5_,0.18710470493907222,14,0.2503733098845309,-6
mPO0_,0.16615130410631682,-12,0.2034900596835748,-7
mPO1_,0.2392794960256461,-2,0.24578853490911107,-14
mPO2_,0.1239715505062076,5,0.11238300377178433,10
mPO3_,0.2509607504414746,11,0.15052020913270903,15
mPO4_,0.07555427912493783,-2,0.17254070592784124,-3
mPO5_,0.16756604846238973,-1,0.2458657711644623,-15
mWA0_,0.26108639240042675,-15,0.18226106321812016,-11
mWA1_,0.1745763336713924,-3,0.19664016578520055,-5
mWA2_,0.17010501863064034,3,0.1896968235221625,-13
mWA3_,0.24734114126885673,13,0.050860653837944095,-13
mWA4_,0.09629804914683607,14,0.24551304408794436,-4
mWA5_,0.018154755202830702,5,0.16947118642470083,11
