track,baseline_mean_jerk,rhythm_mean_jerk
mBR0_,0.13391800224781036,0.26826322078704834
mBR1_,0.14330001175403595,0.22354839742183685
mBR2_,0.1885818988084793,0.10036304593086243
mBR3_,0.3256719708442688,0.35077986121177673
mBR4_,0.17588961124420166,0.11467304080724716
mBR5_,0.14140760898590088,0.3974306285381317
mHO0_,0.1334262639284134,0.39424946904182434
mHO1_,0.32116690278053284,0.6951230764389038
mHO2_,0.46853959560394287,0.3961339294910431
mHO3_,0.2720448970794678,0.10370146483182907
mHO4_,0.08573742210865021,0.48483017086982727
mHO5_,0.18903197348117828,0.09477947652339935
mJB0_,0.17767660319805145,0.18757301568984985
mJB1_,0.06365793198347092,0.07612294703722
mJB2_,0.512076735496521,0.24710944294929504
mJB3_,0.3586159646511078,0.10059108585119247
mJB4_,0.11216393113136292,0.5893170833587646
mJB5_,0.14271339774131775,0.0950746163725853
mJS0_,0.23255857825279236,0.5697241425514221
mJS1_,0.42433950304985046,0.6014153361320496
mJS2_,0.141336590051651,0.32116463780403137
mJS3_,0.3346823751926422,0.5532107949256897
mJS4_,0.2096044272184372,0.5623261332511902
mJS5_,0.22228269279003143,0.1709987372159958
mKR0_,0.20696976780891418,0.15157604217529297
mKR1_,0.17440596222877502,0.5177887082099915
mKR2_,0.1944143921136856,0.27569928765296936
mKR3_,0.2282102406024933,0.13499099016189575
mKR4_,0.1128145307302475,0.719948410987854
mKR5_,0.1132115051150322,0.2412116378545761
mLH0_,0.13718469440937042,0.219193235039711
mLH1_,0.21343573927879333,0.1745503544807434
mLH2_,0.1582031548023224,0.3340039551258087
mLH3_,0.14992637932300568,0.22835826873779297
mLH4_,0.15540890395641327,0.157115176320076
mLH5_,0.14790010452270508,0.20697849988937378
mLO0_,0.16241559386253357,0.17602099478244781
mLO1_,0.3141001760959625,0.09836265444755554
mLO2_,0.22353419661521912,0.30040329694747925
mLO3_,0.193126380443573,0.4857240617275238
mLO4_,0.20705191791057587,0.5815945863723755
mLO5_,0.13880756497383118,0.07242593169212341
mMH0_,0.12560251355171204,0.12111009657382965
mMH1_,0.2929946780204773,0.11155843734741211
mMH2_,0.18524910509586334,0.3427676558494568
mMH3_,0.23495084047317505,0.10343556851148605
mMH4_,0.17800532281398773,0.610441267490387
mMH5_,0.3618476390838623,0.5380057096481323
mPO0_,0.13338230550289154,0.33111077547073364
mPO1_,0.15162809193134308,0.21573664247989655
mPO2_,0.2917272746562958,0.19384996592998505
mPO3_,0.5826647281646729,0.23069994151592255
mPO4_,0.21039122343063354,0.3041097819805145
mPO5_,0.2059849202632904,0.2462034374475479
mWA0_,0.21238963305950165,0.18126899003982544
mWA1_,0.1610599160194397,0.6445629000663757
mWA2_,0.24186909198760986,0.23385171592235565
mWA3_,0.19285887479782104,0.11288846284151077
mWA4_,0.13122975826263428,0.22077223658561707
mWA5_,0.08988974243402481,0.2325592041015625
