track,exp02_corr,exp02_lag,exp03_corr,exp03_lag
mBR0_,0.14945510284227734,9,0.11281109940880372,-15
mBR1_,0.1282630107213373,9,0.10877912288415478,-13
mBR2_,0.06922285936574879,-15,0.05655975291821169,1
mBR3_,0.1937406893751486,-11,0.12612242029943307,-10
mBR4_,0.053071384533681584,7,0.13072827785876937,-15
mBR5_,0.2664822644240794,-2,0.1580611570439648,-1
mHO0_,0.17940470080195714,13,0.1011229193035165,9
mHO1_,0.15613672747743762,-15,0.23297892841464524,-10
mHO2_,0.2804157984262741,2,0.2143861171164766,-14
mHO3_,0.13692839468174783,-13,0.2907541375990694,2
mHO4_,0.16044871157321572,10,0.007978711114900342,1
mHO5_,0.0551319497153795,-11,0.2916744898834817,4
mJB0_,0.18708912518864082,3,0.21555737086841903,14
mJB1_,0.13351131159421326,-9,0.24311160727763395,1
mJB2_,0.14176885749670026,13,0.18113856959708494,1
mJB3_,0.11765608984135903,14,0.5708163787836503,8
mJB4_,0.15452416824108628,-6,0.2068682935466342,-10
mJB5_,0.18847989251722236,15,0.15041409984255594,-7
mJS0_,0.24692576522341597,0,0.18095042499811675,-7
mJS1_,0.13883236941229893,0,0.18088120877318348,3
mJS2_,0.18851654595791523,4,0.18494798170554452,0
mJS3_,0.18479698267188208,8,0.20627487551358056,-11
mJS4_,0.27312612367214817,7,0.13915683055493852,-13
mJS5_,0.17989020702224984,15,0.10994429739628961,-15
mKR0_,0.05363952650679991,-3,0.07536346185814043,-11
mKR1_,0.1401123522783167,-1,0.19222171744001,-8
mKR2_,0.2591318848120979,4,0.0653266183637795,13
mKR3_,0.23461330640329706,-5,0.16579515627948035,5
mKR4_,0.17514990090911353,13,0.08789704307897159,-4
mKR5_,0.12498939139545201,9,0.06737861753253488,8
mLH0_,0.25997417148876073,-8,0.13918112656411072,-11
mLH1_,0.13719142563293063,12,0.1891530426573741,13
mLH2_,0.28759468066071114,0,0.18108851120624156,8
mLH3_,0.15520753467889747,-10,0.13565992890105458,11
mLH4_,0.21553125503080886,0,0.19726524440215884,14
mLH5_,0.27100087408569207,-5,0.23284408371159201,-5
mLO0_,0.1393848886430971,11,0.09001117191527926,14
mLO1_,0.08613302671898974,6,0.028177525246940914,-8
mLO2_,0.12094961172662852,-1,0.1301387041840094,9
mLO3_,0.17231116919113146,-4,0.1604735048956726,-5
mLO4_,0.1828662266102588,13,0.09766386726315736,0
mLO5_,0.08723715642370738,-6,0.06099270727444545,1
mMH0_,0.11685321005897316,-10,0.20943196445727538,11
mMH1_,0.19833942810094016,-15,0.15410025656637114,10
mMH2_,0.2334068839789715,-13,0.258983782381796,-14
mMH3_,0.13472590885533342,6,0.12203514683159908,3
mMH4_,0.23273532222980797,3,0.09021826198330676,-4
mMH5_,0.25037332712325555,-6,0.08489901072952938,-6
mPO0_,0.2034900454657326,-7,0.25533811225891057,6
mPO1_,0.24578852403939005,-14,0.14978862578326,-5
mPO2_,0.11238301978481625,10,0.20482993563049484,-11
mPO3_,0.15052020859193715,15,0.04950420922598586,-6
mPO4_,0.1725406990674146,-3,0.158383663945537,-10
mPO5_,0.2458657453770598,-15,0.18836326401359743,13
mWA0_,0.18226106523073335,-11,0.10651645490960243,3
mWA1_,0.19664016848437166,-5,0.16661403248273726,-2
mWA2_,0.18969682720607783,-13,0.309315503626726,1
mWA3_,0.0508606450847324,-13,0.13784456158687958,-6
mWA4_,0.24551303150830073,-4,0.14234844913091538,-1
mWA5_,0.1694711734703505,11,0.10742227541716619,0
