track,baseline_jerk,exp03_jerk
mBR0_,0.13391800224781036,0.19233527779579163
mBR1_,0.14330001175403595,0.19709022343158722
mBR2_,0.1885818988084793,0.22911998629570007
mBR3_,0.3256719708442688,0.283582478761673
mBR4_,0.17588961124420166,0.20898647606372833
mBR5_,0.14140760898590088,0.21729536354541779
mHO0_,0.1334262639284134,0.23833931982517242
mHO1_,0.32116690278053284,0.18573476374149323
mHO2_,0.46853959560394287,0.2417038083076477
mHO3_,0.2720448970794678,0.13079528510570526
mHO4_,0.08573742210865021,0.08943163603544235
mHO5_,0.18903197348117828,0.4212304949760437
mJB0_,0.17767660319805145,0.3755590319633484
mJB1_,0.06365793198347092,0.08861442655324936
mJB2_,0.512076735496521,0.3180433511734009
mJB3_,0.3586159646511078,0.33188721537590027
mJB4_,0.11216393113136292,0.31969213485717773
mJB5_,0.14271339774131775,0.6849713921546936
mJS0_,0.23255857825279236,0.15967364609241486
mJS1_,0.42433950304985046,0.37170150876045227
mJS2_,0.141336590051651,0.28163596987724304
mJS3_,0.3346823751926422,0.23524659872055054
mJS4_,0.2096044272184372,0.13118736445903778
mJS5_,0.22228269279003143,0.15697625279426575
mKR0_,0.20696976780891418,0.10297758132219315
mKR1_,0.17440596222877502,0.12322305142879486
mKR2_,0.1944143921136856,0.18189184367656708
mKR3_,0.2282102406024933,0.13075858354568481
mKR4_,0.1128145307302475,0.07696706801652908
mKR5_,0.1132115051150322,0.09369651228189468
mLH0_,0.13718469440937042,0.25524112582206726
mLH1_,0.21343573927879333,0.17784056067466736
mLH2_,0.1582031548023224,0.11447768658399582
mLH3_,0.14992637932300568,0.2826961576938629
mLH4_,0.15540890395641327,0.14470535516738892
mLH5_,0.14790010452270508,0.2250288426876068
mLO0_,0.16241559386253357,0.3320586681365967
mLO1_,0.3141001760959625,0.18911902606487274
mLO2_,0.22353419661521912,0.38396015763282776
mLO3_,0.193126380443573,0.24661384522914886
mLO4_,0.20705191791057587,0.2770721912384033
mLO5_,0.13880756497383118,0.26151520013809204
mMH0_,0.12560251355171204,0.27818286418914795
mMH1_,0.2929946780204773,0.2547427713871002
mMH2_,0.18524910509586334,0.39563292264938354
mMH3_,0.23495084047317505,0.15297092497348785
mMH4_,0.17800532281398773,0.2700774669647217
mMH5_,0.3618476390838623,0.22461949288845062
mPO0_,0.13338230550289154,0.09323977679014206
mPO1_,0.15162809193134308,0.22099128365516663
mPO2_,0.2917272746562958,0.23823316395282745
mPO3_,0.5826647281646729,0.12938399612903595
mPO4_,0.21039122343063354,0.1132090836763382
mPO5_,0.2059849202632904,0.35032492876052856
mWA0_,0.21238963305950165,0.0978957787156105
mWA1_,0.1610599160194397,0.2301214039325714
mWA2_,0.24186909198760986,0.27268198132514954
mWA3_,0.19285887479782104,0.13436728715896606
mWA4_,0.13122975826263428,0.5674750804901123
mWA5_,0.08988974243402481,0.23031234741210938
