track,exp05_corr,exp05_lag,exp06a_corr,exp06a_lag
mBR0_,0.16474457306885384,12,0.23539239420055164,15
mBR1_,0.16544536814930322,-8,0.14511016063927895,-8
mBR2_,0.12488080362607354,5,0.1272248695363078,5
mBR3_,0.2286508920176198,-2,0.1952545255779896,-9
mBR4_,0.1467174919708189,-10,0.12248237227235505,-13
mBR5_,0.09845763187208284,-10,0.12935969317270832,-14
mHO0_,0.103122273636203,-12,0.11468768697243484,12
mHO1_,0.12912221863262338,-5,0.15560320153663001,15
mHO2_,0.1841065318362656,12,0.12371414819361343,-9
mHO3_,0.23361376048621801,14,0.29453309053213794,11
mHO4_,0.14994171605481804,-7,0.21646363288451317,-2
mHO5_,0.17155495304973045,-10,0.16230619066197852,10
mJB0_,0.16263417309141734,-4,0.13250020584958142,-7
mJB1_,0.1626084536267624,0,0.10867047175276631,-6
mJB2_,0.16798788092870162,9,0.4353653787091961,11
mJB3_,0.21839707262254177,-4,0.2540205945455076,-13
mJB4_,0.12615013812085937,-11,0.1720920923113656,-15
mJB5_,0.07508988770326466,13,0.11945182122174894,7
mJS0_,0.2797677390132582,6,0.2063864460057656,3
mJS1_,0.2756223924131288,1,0.21602382749577373,-5
mJS2_,0.12729404164009417,-4,0.16169712658418142,4
mJS3_,0.2097258022991794,-14,0.25240718559565245,-13
mJS4_,0.23204867995161654,-13,0.15162459183081664,-5
mJS5_,0.08918340094108419,10,0.1750043780719127,-7
mKR0_,0.18882635479131576,-14,0.1639240311277806,-13
mKR1_,0.151564635237016,-12,0.15831663125988982,3
mKR2_,0.1760148486514853,-14,0.26857217810882617,0
mKR3_,0.1855797150372839,-11,0.26018053596869384,2
mKR4_,0.07500110101432574,-12,0.13709134159795636,-12
mKR5_,0.07870569462745261,-4,0.11423214063673004,-3
mLH0_,0.22530908590205964,-11,0.2249945259838417,0
mLH1_,0.2527765438981254,-10,0.45560633635503855,-3
mLH2_,0.15502257051127913,15,0.32634393501269404,-6
mLH3_,0.1474042810132682,12,0.1051444359402607,-8
mLH4_,0.21351747140410138,-12,0.18565123770908895,13
mLH5_,0.20341301833379938,-10,0.21140691267047318,-12
mLO0_,0.18405715616823168,-7,0.11755231956693214,2
mLO1_,0.24387383655252445,6,0.14356959573668632,-3
mLO2_,0.1369208952313448,-5,0.12589905133970986,-4
mLO3_,0.05965820155354953,-14,0.15414358524794083,8
mLO4_,0.23467387050868566,12,0.10636701407586095,13
mLO5_,0.12947331093392409,4,0.22235094529586888,2
mMH0_,0.10086328042501976,0,0.10575352130751742,-12
mMH1_,0.18652671641970928,13,0.08249847370296559,15
mMH2_,0.17808277018986832,-10,0.09498937280655022,-14
mMH3_,0.105038116512633,1,0.13379966414649977,13
mMH4_,0.39643773586285685,15,0.1632944449247224,-15
mMH5_,0.09873776401955427,7,0.10154363280168922,13
mPO0_,0.24575872086774045,6,0.20469838973819135,13
mPO1_,0.11076662635909375,-8,0.12235317948236894,-11
mPO2_,0.14630492815823354,-7,0.14691619683052326,-8
mPO3_,0.15980224125986037,13,0.3022494290638087,-4
mPO4_,0.28336040644429716,-15,0.1383369915310625,3
mPO5_,0.07425982722732832,-9,0.2084813600587578,6
mWA0_,0.12966442305643508,2,0.15477121427620502,-14
mWA1_,0.21946119519766047,15,0.15202262249555243,13
mWA2_,0.17375259963053735,-8,0.3112150689734964,4
mWA3_,0.17992701781794448,15,0.18395990361587924,-13
mWA4_,0.17702902725422423,6,0.19676944203796526,11
mWA5_,0.07569918408952772,8,0.20413989447281736,7
