track,exp03_corr,exp03_lag,exp06a_corr,exp06a_lag
mBR0_,0.11281108576452602,-15,0.23539239420055164,15
mBR1_,0.10877913138767191,-13,0.14511016063927895,-8
mBR2_,0.05655974270867284,1,0.1272248695363078,5
mBR3_,0.1261224443760674,-10,0.1952545255779896,-9
mBR4_,0.1307282734107676,-15,0.12248237227235505,-13
mBR5_,0.1580611662715656,-1,0.12935969317270832,-14
mHO0_,0.10112292493161201,9,0.11468768697243484,12
mHO1_,0.2329789077265576,-10,0.15560320153663001,15
mHO2_,0.2143861284134295,-14,0.12371414819361343,-9
mHO3_,0.29075416248162256,2,0.29453309053213794,11
mHO4_,0.007978707405291264,1,0.21646363288451317,-2
mHO5_,0.29167447291709164,4,0.16230619066197852,10
mJB0_,0.21555737481715773,14,0.13250020584958142,-7
mJB1_,0.2431116347957329,1,0.10867047175276631,-6
mJB2_,0.18113856829291866,1,0.4353653787091961,11
mJB3_,0.5708163420563996,8,0.2540205945455076,-13
mJB4_,0.2068683062929835,-10,0.1720920923113656,-15
mJB5_,0.150414107100267,-7,0.11945182122174894,7
mJS0_,0.1809504103536805,-7,0.2063864460057656,3
mJS1_,0.1808812028634174,3,0.21602382749577373,-5
mJS2_,0.18494798186290487,0,0.16169712658418142,4
mJS3_,0.20627490096121912,-11,0.25240718559565245,-13
mJS4_,0.139156836439801,-13,0.15162459183081664,-5
mJS5_,0.1099442982444832,-15,0.1750043780719127,-7
mKR0_,0.07536345862218037,-11,0.1639240311277806,-13
mKR1_,0.19222170637831767,-8,0.15831663125988982,3
mKR2_,0.06532661054140469,13,0.26857217810882617,0
mKR3_,0.16579514589324765,5,0.26018053596869384,2
mKR4_,0.0878970426015849,-4,0.13709134159795636,-12
mKR5_,0.06737859554162728,8,0.11423214063673004,-3
mLH0_,0.13918112875954777,-11,0.2249945259838417,0
mLH1_,0.18915304335529856,13,0.45560633635503855,-3
mLH2_,0.1810885216469327,8,0.32634393501269404,-6
mLH3_,0.13565993233304963,11,0.1051444359402607,-8
mLH4_,0.1972652638059342,14,0.18565123770908895,13
mLH5_,0.232844072397969,-5,0.21140691267047318,-12
mLO0_,0.09001115077019368,14,0.11755231956693214,2
mLO1_,0.0281775234033289,-8,0.14356959573668632,-3
mLO2_,0.13013871643426095,9,0.12589905133970986,-4
mLO3_,0.16047348548151388,-5,0.15414358524794083,8
mLO4_,0.09766386905211191,0,0.10636701407586095,13
mLO5_,0.06099270490297573,1,0.22235094529586888,2
mMH0_,0.20943194635745252,11,0.10575352130751742,-12
mMH1_,0.1541002565093106,10,0.08249847370296559,15
mMH2_,0.25898377415023416,-14,0.09498937280655022,-14
mMH3_,0.12203514649010987,3,0.13379966414649977,13
mMH4_,0.09021826882181852,-4,0.1632944449247224,-15
mMH5_,0.08489899866612352,-6,0.10154363280168922,13
mPO0_,0.2553381131675694,6,0.20469838973819135,13
mPO1_,0.14978863576734597,-5,0.12235317948236894,-11
mPO2_,0.20482993118303636,-11,0.14691619683052326,-8
mPO3_,0.04950420935590048,-6,0.3022494290638087,-4
mPO4_,0.15838364444756126,-10,0.1383369915310625,3
mPO5_,0.18836325343144186,13,0.2084813600587578,6
mWA0_,0.10651645487639197,3,0.15477121427620502,-14
mWA1_,0.1666140305059187,-2,0.15202262249555243,13
mWA2_,0.30931549945863246,1,0.3112150689734964,4
mWA3_,0.13784456891317143,-6,0.18395990361587924,-13
mWA4_,0.14234842768220435,-1,0.19676944203796526,11
mWA5_,0.10742226458553686,0,0.20413989447281736,7
