track,exp05_jerk,exp06a_jerk
mBR0_,0.3932528793811798,0.26228341460227966
mBR1_,0.30590441823005676,0.2260979861021042
mBR2_,0.2350723296403885,0.34087905287742615
mBR3_,0.433173805475235,0.3659500181674957
mBR4_,0.18772843480110168,0.5700473785400391
mBR5_,0.5944206714630127,0.42642539739608765
mHO0_,0.2577543258666992,0.22647280991077423
mHO1_,0.3320295512676239,0.37210193276405334
mHO2_,0.2696371376514435,0.18947000801563263
mHO3_,0.38086405396461487,0.6997523307800293
mHO4_,0.42820271849632263,0.33772334456443787
mHO5_,0.49150973558425903,0.34102070331573486
mJB0_,0.2678285539150238,0.2613641619682312
mJB1_,0.3324895203113556,0.49484533071517944
mJB2_,0.29115185141563416,0.4513528048992157
mJB3_,0.586226761341095,0.2824724614620209
mJB4_,0.30290088057518005,0.3440229594707489
mJB5_,0.3514944612979889,0.33676260709762573
mJS0_,0.3562268614768982,0.44015467166900635
mJS1_,0.2930058538913727,0.4107721447944641
mJS2_,0.2640587389469147,0.5275509357452393
mJS3_,0.4957350194454193,0.38450294733047485
mJS4_,0.4961155354976654,0.3249097466468811
mJS5_,0.21713921427726746,0.2709719240665436
mKR0_,0.36922720074653625,0.3584294319152832
mKR1_,0.2793116569519043,0.234444722533226
mKR2_,0.6737731695175171,0.34319236874580383
mKR3_,0.33329883217811584,0.39614707231521606
mKR4_,0.2204992026090622,0.3081665337085724
mKR5_,0.19168950617313385,0.2052900195121765
mLH0_,0.2996308207511902,0.3833412230014801
mLH1_,0.32459133863449097,0.2715601623058319
mLH2_,0.2704712748527527,0.3116941452026367
mLH3_,0.24166443943977356,0.3204503357410431
mLH4_,0.3640608489513397,0.45387253165245056
mLH5_,0.19198668003082275,0.4278653860092163
mLO0_,0.41160064935684204,0.2719375789165497
mLO1_,0.4238816499710083,0.2591455280780792
mLO2_,0.3138123154640198,0.26541054248809814
mLO3_,0.17609219253063202,0.27947622537612915
mLO4_,0.31315937638282776,0.33496907353401184
mLO5_,0.3475085496902466,0.2908017933368683
mMH0_,0.2376808375120163,0.30331674218177795
mMH1_,0.445070743560791,0.3542872965335846
mMH2_,0.48870745301246643,0.25794005393981934
mMH3_,0.16751962900161743,0.5881959199905396
mMH4_,0.5856320858001709,0.35351407527923584
mMH5_,0.29282012581825256,0.2822658121585846
mPO0_,0.7848982810974121,0.7880650162696838
mPO1_,0.29998844861984253,0.2924954891204834
mPO2_,0.293233186006546,0.3365044891834259
mPO3_,0.347425639629364,0.47707998752593994
mPO4_,0.3541495203971863,0.364721417427063
mPO5_,0.30585572123527527,0.2515413463115692
mWA0_,0.36142414808273315,0.42432141304016113
mWA1_,0.2042064070701599,0.39259716868400574
mWA2_,0.3074781894683838,0.2876899242401123
mWA3_,0.5102863907814026,0.7601745128631592
mWA4_,0.20653961598873138,0.3686046898365021
mWA5_,0.26738789677619934,0.3254268169403076
