track,exp06a_corr,exp06a_lag,exp06b_corr,exp06b_lag
mBR0_,0.23539239420055164,15,0.17049116519694893,8
mBR1_,0.14511016063927895,-8,0.171843503197906,6
mBR2_,0.1272248695363078,5,0.09260194702742279,4
mBR3_,0.1952545255779896,-9,0.19412065420197022,-12
mBR4_,0.12248237227235505,-13,0.2096535595954938,-14
mBR5_,0.12935969317270832,-14,0.09789310414758733,-11
mHO0_,0.11468768697243484,12,0.046495202491679904,-5
mHO1_,0.15560320153663001,15,0.22282597351561706,-5
mHO2_,0.12371414819361343,-9,0.0895885664868939,-8
mHO3_,0.29453309053213794,11,0.20484697127484833,-14
mHO4_,0.21646363288451317,-2,0.10364698191059328,3
mHO5_,0.16230619066197852,10,0.24480205527573468,10
mJB0_,0.13250020584958142,-7,0.2017310773138204,14
mJB1_,0.10867047175276631,-6,0.1779663659600996,-14
mJB2_,0.4353653787091961,11,0.19204809486508767,2
mJB3_,0.2540205945455076,-13,0.5031542036960143,11
mJB4_,0.1720920923113656,-15,0.24694821197334446,-14
mJB5_,0.11945182122174894,7,0.17749152997620363,1
mJS0_,0.2063864460057656,3,0.1830579408972745,11
mJS1_,0.21602382749577373,-5,0.2748030439426833,9
mJS2_,0.16169712658418142,4,0.2432387454478528,-12
mJS3_,0.25240718559565245,-13,0.21735465933465328,1
mJS4_,0.15162459183081664,-5,0.19792722317090056,12
mJS5_,0.1750043780719127,-7,0.15811980790986926,-2
mKR0_,0.1639240311277806,-13,0.1660283710278707,5
mKR1_,0.15831663125988982,3,0.18923981538533366,-13
mKR2_,0.26857217810882617,0,0.140606170841087,0
mKR3_,0.26018053596869384,2,0.31402221640484157,8
mKR4_,0.13709134159795636,-12,0.12812681289249506,2
mKR5_,0.11423214063673004,-3,0.11031745290146273,-11
mLH0_,0.2249945259838417,0,0.33044962212248846,-10
mLH1_,0.45560633635503855,-3,0.22523590627510515,-4
mLH2_,0.32634393501269404,-6,0.0821185604072403,11
mLH3_,0.1051444359402607,-8,0.1496015786147654,2
mLH4_,0.18565123770908895,13,0.32490284080515036,-14
mLH5_,0.21140691267047318,-12,0.18457260821901045,10
mLO0_,0.11755231956693214,2,0.15621741650379298,-12
mLO1_,0.14356959573668632,-3,0.13166949567980504,0
mLO2_,0.12589905133970986,-4,0.12812557896422613,0
mLO3_,0.15414358524794083,8,0.2368536796147288,-1
mLO4_,0.10636701407586095,13,0.1529065796593464,-11
mLO5_,0.22235094529586888,2,0.15402762551670893,10
mMH0_,0.10575352130751742,-12,0.15708086886182415,5
mMH1_,0.08249847370296559,15,0.18170166116104605,14
mMH2_,0.09498937280655022,-14,0.2515456134785666,-14
mMH3_,0.13379966414649977,13,0.23129425672404869,10
mMH4_,0.1632944449247224,-15,0.16514738921327732,6
mMH5_,0.10154363280168922,13,0.20051277000557063,7
mPO0_,0.20469838973819135,13,0.16666285063688926,6
mPO1_,0.12235317948236894,-11,0.17255705519418565,-5
mPO2_,0.14691619683052326,-8,0.16664380309243593,5
mPO3_,0.3022494290638087,-4,0.34387993250114807,-1
mPO4_,0.1383369915310625,3,0.16661791101841758,2
mPO5_,0.2084813600587578,6,0.21015952742554334,-2
mWA0_,0.15477121427620502,-14,0.22550025242760502,-15
mWA1_,0.15202262249555243,13,0.22989907817001168,13
mWA2_,0.3112150689734964,4,0.23577133215681811,-9
mWA3_,0.18395990361587924,-13,0.1714678895614739,8
mWA4_,0.19676944203796526,11,0.14779121615061216,14
mWA5_,0.20413989447281736,7,0.23114817904659613,1
