track,exp01_jerk,exp06b_jerk
mBR0_,0.13391800224781036,0.34499800205230713
mBR1_,0.14330001175403595,0.4891105592250824
mBR2_,0.1885818988084793,0.5999199748039246
mBR3_,0.3256719708442688,0.38421183824539185
mBR4_,0.17588961124420166,0.26130005717277527
mBR5_,0.14140760898590088,0.744366466999054
mHO0_,0.1334262639284134,0.231581911444664
mHO1_,0.32116690278053284,0.2825746536254883
mHO2_,0.46853959560394287,0.16928088665008545
mHO3_,0.2720448970794678,0.5614932179450989
mHO4_,0.08573742210865021,0.4033943712711334
mHO5_,0.18903197348117828,0.5969259738922119
mJB0_,0.17767660319805145,0.4593745768070221
mJB1_,0.06365793198347092,0.29116350412368774
mJB2_,0.512076735496521,0.24322789907455444
mJB3_,0.3586159646511078,0.746900737285614
mJB4_,0.11216393113136292,0.4081188440322876
mJB5_,0.14271339774131775,0.4113425016403198
mJS0_,0.23255857825279236,0.6108779311180115
mJS1_,0.42433950304985046,0.6303730607032776
mJS2_,0.141336590051651,0.28340449929237366
mJS3_,0.3346823751926422,0.3335378170013428
mJS4_,0.2096044272184372,0.4778697192668915
mJS5_,0.22228269279003143,0.4339323043823242
mKR0_,0.20696976780891418,0.23165127635002136
mKR1_,0.17440596222877502,0.47449222207069397
mKR2_,0.1944143921136856,0.24422983825206757
mKR3_,0.2282102406024933,0.4661521017551422
mKR4_,0.1128145307302475,0.15077728033065796
mKR5_,0.1132115051150322,0.1960868388414383
mLH0_,0.13718469440937042,0.6786060929298401
mLH1_,0.21343573927879333,0.3258032202720642
mLH2_,0.1582031548023224,0.22060884535312653
mLH3_,0.14992637932300568,0.26796042919158936
mLH4_,0.15540890395641327,0.6669076681137085
mLH5_,0.14790010452270508,0.22576826810836792
mLO0_,0.16241559386253357,0.4959452748298645
mLO1_,0.3141001760959625,0.2551037669181824
mLO2_,0.22353419661521912,0.4853883981704712
mLO3_,0.193126380443573,0.3907509744167328
mLO4_,0.20705191791057587,0.3617861866950989
mLO5_,0.13880756497383118,0.24012510478496552
mMH0_,0.12560251355171204,0.31140193343162537
mMH1_,0.2929946780204773,0.2917449474334717
mMH2_,0.18524910509586334,0.5064221024513245
mMH3_,0.23495084047317505,0.26676544547080994
mMH4_,0.17800532281398773,0.353181391954422
mMH5_,0.3618476390838623,0.4444524049758911
mPO0_,0.13338230550289154,0.4092932343482971
mPO1_,0.15162809193134308,0.3096986711025238
mPO2_,0.2917272746562958,0.25135451555252075
mPO3_,0.5826647281646729,0.40752506256103516
mPO4_,0.21039122343063354,0.2876039445400238
mPO5_,0.2059849202632904,0.3458579480648041
mWA0_,0.21238963305950165,0.3627859055995941
mWA1_,0.1610599160194397,0.5053225159645081
mWA2_,0.24186909198760986,0.25626182556152344
mWA3_,0.19285887479782104,0.4846349060535431
mWA4_,0.13122975826263428,0.24878427386283875
mWA5_,0.08988974243402481,0.4900013506412506
