track,exp02_corr,exp02_lag,exp07_corr,exp07_lag
mBR0_,0.1494550991895363,9,0.17978945537044227,-5
mBR1_,0.12826302294697228,9,0.19012328600827008,-13
mBR2_,0.0692228633990392,-15,0.10823905609328628,0
mBR3_,0.19374067190523833,-11,0.20669320014608386,3
mBR4_,0.05307138807994811,7,0.08910195879019588,-10
mBR5_,0.2664822473336075,-2,0.22857390314412904,-11
mHO0_,0.17940467925011647,13,0.130854709810089,15
mHO1_,0.1561367099226121,-15,0.10732591265644384,15
mHO2_,0.2804158405889957,2,0.0868076655587017,2
mHO3_,0.13692840198390602,-13,0.18849486459105624,4
mHO4_,0.16044873364416978,10,0.19050759933123684,7
mHO5_,0.05513194263500028,-11,0.13620174930204387,14
mJB0_,0.18708911903430459,3,0.2430010049714125,10
mJB1_,0.13351133763807244,-9,0.20705742152614054,1
mJB2_,0.1417688397484001,13,0.12878686022322527,14
mJB3_,0.11765608899305388,14,0.5068310639604464,5
mJB4_,0.15452419412456958,-6,0.20952455966134997,5
mJB5_,0.18847990349497823,15,0.14515417869639913,-12
mJS0_,0.24692578395432532,0,0.11111340614249442,5
mJS1_,0.1388323646411992,0,0.16877090190057714,9
mJS2_,0.18851654328561673,4,0.2378987313664827,15
mJS3_,0.18479700189736642,8,0.16662483033710182,15
mJS4_,0.27312612366471584,7,0.22794440499506852,-3
mJS5_,0.17989020276577194,15,0.23650197068489054,12
mKR0_,0.05363953004729069,-3,0.2614861566365358,0
mKR1_,0.14011235417644,-1,0.13398338390946454,3
mKR2_,0.25913189855086416,4,0.20144486489590607,-2
mKR3_,0.23461330892750326,-5,0.2339541685996395,-6
mKR4_,0.17514989366237543,13,0.13528565320610908,-3
mKR5_,0.12498940673514121,9,0.19399180144045425,13
mLH0_,0.259974184923307,-8,0.10324984798625611,-6
mLH1_,0.13719141638916732,12,0.2264679560145909,7
mLH2_,0.2875946853022608,0,0.3754874261672724,0
mLH3_,0.15520752054553408,-10,0.16230058971353153,-7
mLH4_,0.21553124679496333,0,0.12430736765764276,12
mLH5_,0.2710008598980624,-5,0.1851696091947991,-10
mLO0_,0.13938487905500271,11,0.20422914388295477,-15
mLO1_,0.08613301127682846,6,0.12535446231327949,13
mLO2_,0.12094960355282747,-1,0.14083173802715757,9
mLO3_,0.17231116862113446,-4,0.15066674867871377,-4
mLO4_,0.18286623563238105,13,0.21286194595159197,11
mLO5_,0.08723715087605315,-6,0.12335727188771023,-3
mMH0_,0.11685321533656468,-10,0.11160739573232484,15
mMH1_,0.19833941321980497,-15,0.15093608405255965,-1
mMH2_,0.2334068585743518,-13,0.2708576606412756,-13
mMH3_,0.13472590140248353,6,0.13765624630323403,-11
mMH4_,0.23273531154141683,3,0.22366952518526975,-13
mMH5_,0.2503733098845309,-6,0.1471323599737831,-13
mPO0_,0.2034900596835748,-7,0.13168595577169764,6
mPO1_,0.24578853490911107,-14,0.18492498931407875,-3
mPO2_,0.11238300377178433,10,0.1943754947200049,7
mPO3_,0.15052020913270903,15,0.2692277586252169,-4
mPO4_,0.17254070592784124,-3,0.1326148776675282,8
mPO5_,0.2458657711644623,-15,0.10318659643614458,-10
mWA0_,0.18226106321812016,-11,0.2543136802248092,0
mWA1_,0.19664016578520055,-5,0.2049906797150698,12
mWA2_,0.1896968235221625,-13,0.23305205926562278,13
mWA3_,0.050860653837944095,-13,0.2624317003037099,2
mWA4_,0.24551304408794436,-4,0.26645988740552473,12
mWA5_,0.16947118642470083,11,0.17557438849674784,-1
