track,exp01_corr,exp01_lag,lam_0p1_corr,lam_0p1_lag
mBR0_,0.23437993104158522,-6,0.1400156102392774,-3
mBR1_,0.2346831841216211,14,0.14603373295701552,-6
mBR2_,0.22381584648384922,-14,0.2029507484185779,1
mBR3_,0.1640318785842932,-12,0.20604168915249738,11
mBR4_,0.07878746810646496,-11,0.20623031463723138,11
mBR5_,0.09232236893983728,-2,0.2650763159335021,-10
mHO0_,0.09774104325201173,5,0.15362242683265617,-3
mHO1_,0.12430834268769111,11,0.16634586008995886,-9
mHO2_,0.1537183043628782,-7,0.0819965692913131,-1
mHO3_,0.12972525225785528,10,0.36127678259692625,-10
mHO4_,0.07596245021347457,0,0.07711822665545319,11
mHO5_,0.13337289850733156,-5,0.30075951708980875,12
mJB0_,0.07134692888198953,15,0.13790630620730202,-3
mJB1_,0.07108580338955624,-8,0.21501058271289963,-15
mJB2_,0.18612706035588922,14,0.2406910247633177,-9
mJB3_,0.2716165357469251,11,0.1831247580268908,-4
mJB4_,0.14436105416088185,7,0.3166007110427059,-14
mJB5_,0.1319291570979775,6,0.11312434547465958,12
mJS0_,0.07759018063049576,-9,0.066018053008657,-7
mJS1_,0.19767169337559792,2,0.11655899436589676,15
mJS2_,0.17923243673782716,-15,0.18922733631676492,6
mJS3_,0.11358346376497828,13,0.11918368666581307,-12
mJS4_,0.1186264407326901,-1,0.05581812044589321,2
mJS5_,0.15432778475456077,13,0.15825117509894676,-5
mKR0_,0.08305267342825114,-15,0.17397165015539146,-12
mKR1_,0.10387868638480673,-6,0.12158966850819448,1
mKR2_,0.0740040640198312,-2,0.16038949770256197,-3
mKR3_,0.19966768844990077,-8,0.21281767798856704,-14
mKR4_,0.11841722479925489,15,0.16915173452088172,12
mKR5_,0.12642306147856971,-1,0.11118464969216889,5
mLH0_,0.17027425919249575,-7,0.16448099034505817,-15
mLH1_,0.4514060812820605,11,0.32190316307610317,-4
mLH2_,0.12418829275208403,15,0.1063802355752963,10
mLH3_,0.16805413237366276,13,0.10780287209516201,15
mLH4_,0.07963502127171843,3,0.2683141476427953,15
mLH5_,0.23780964708893318,5,0.37535429125922687,11
mLO0_,0.17277283282013348,-12,0.13148479728198795,11
mLO1_,0.20315990694766586,-7,0.131765227426674,1
mLO2_,0.11292783147913094,-6,0.16134532837333013,-2
mLO3_,0.14698448087335883,1,0.10488798584002858,14
mLO4_,0.10847151978059151,-15,0.09544941991353166,9
mLO5_,0.12741628007007677,-7,0.1742593161808074,9
mMH0_,0.10948626245422524,10,0.1624759446426206,-9
mMH1_,0.20791362799585228,-8,0.14495457185667815,-9
mMH2_,0.21685908271042173,-13,0.18926427313258115,7
mMH3_,0.21906099378820537,2,0.18569146188012112,-5
mMH4_,0.10638683831642565,13,0.14045402612927757,-9
mMH5_,0.18710470493907222,14,0.15533814504062643,-2
mPO0_,0.16615130410631682,-12,0.12857398724545288,6
mPO1_,0.2392794960256461,-2,0.4450287670003269,12
mPO2_,0.1239715505062076,5,0.23843186517763545,5
mPO3_,0.2509607504414746,11,0.2318400999368424,-4
mPO4_,0.07555427912493783,-2,0.20758338345582122,8
mPO5_,0.16756604846238973,-1,0.058237598432904054,11
mWA0_,0.26108639240042675,-15,0.25085198528773517,-14
mWA1_,0.1745763336713924,-3,0.19495361025327732,13
mWA2_,0.17010501863064034,3,0.1229743189902396,6
mWA3_,0.24734114126885673,13,0.08686921016407909,-11
mWA4_,0.09629804914683607,14,0.21290870611417428,-11
mWA5_,0.018154755202830702,5,0.05919392501503055,-9
