track,exp01_jerk,lam_0p1_jerk
mBR0_,0.13391800224781036,0.26122209429740906
mBR1_,0.14330001175403595,0.2585999369621277
mBR2_,0.1885818988084793,0.49989473819732666
mBR3_,0.3256719708442688,0.42502880096435547
mBR4_,0.17588961124420166,0.186417356133461
mBR5_,0.14140760898590088,0.41084855794906616
mHO0_,0.1334262639284134,0.8856444954872131
mHO1_,0.32116690278053284,0.25260183215141296
mHO2_,0.46853959560394287,0.18291085958480835
mHO3_,0.2720448970794678,0.43037691712379456
mHO4_,0.08573742210865021,0.11382433772087097
mHO5_,0.18903197348117828,0.3620937168598175
mJB0_,0.17767660319805145,0.26365089416503906
mJB1_,0.06365793198347092,0.09423987567424774
mJB2_,0.512076735496521,0.3385064899921417
mJB3_,0.3586159646511078,0.6294474601745605
mJB4_,0.11216393113136292,0.3363879323005676
mJB5_,0.14271339774131775,0.24504485726356506
mJS0_,0.23255857825279236,0.20460356771945953
mJS1_,0.42433950304985046,0.20029525458812714
mJS2_,0.141336590051651,0.09573999792337418
mJS3_,0.3346823751926422,0.23085221648216248
mJS4_,0.2096044272184372,0.2245175689458847
mJS5_,0.22228269279003143,0.2588728964328766
mKR0_,0.20696976780891418,0.4349019229412079
mKR1_,0.17440596222877502,0.32821786403656006
mKR2_,0.1944143921136856,0.18694466352462769
mKR3_,0.2282102406024933,0.5292043089866638
mKR4_,0.1128145307302475,0.18689870834350586
mKR5_,0.1132115051150322,0.23738063871860504
mLH0_,0.13718469440937042,0.13382497429847717
mLH1_,0.21343573927879333,0.28328368067741394
mLH2_,0.1582031548023224,0.404384970664978
mLH3_,0.14992637932300568,0.1956043690443039
mLH4_,0.15540890395641327,0.2940675616264343
mLH5_,0.14790010452270508,0.44900259375572205
mLO0_,0.16241559386253357,0.1898760050535202
mLO1_,0.3141001760959625,0.19741277396678925
mLO2_,0.22353419661521912,0.3313286602497101
mLO3_,0.193126380443573,0.14337214827537537
mLO4_,0.20705191791057587,0.33391982316970825
mLO5_,0.13880756497383118,0.38817065954208374
mMH0_,0.12560251355171204,0.4028607904911041
mMH1_,0.2929946780204773,0.3767835795879364
mMH2_,0.18524910509586334,0.18713662028312683
mMH3_,0.23495084047317505,0.3223753571510315
mMH4_,0.17800532281398773,0.38772544264793396
mMH5_,0.3618476390838623,0.23123864829540253
mPO0_,0.13338230550289154,0.38628843426704407
mPO1_,0.15162809193134308,0.41040223836898804
mPO2_,0.2917272746562958,0.27255046367645264
mPO3_,0.5826647281646729,0.18443237245082855
mPO4_,0.21039122343063354,0.22290627658367157
mPO5_,0.2059849202632904,0.14225412905216217
mWA0_,0.21238963305950165,0.42489227652549744
mWA1_,0.1610599160194397,0.5234599113464355
mWA2_,0.24186909198760986,0.19645605981349945
mWA3_,0.19285887479782104,0.23373475670814514
mWA4_,0.13122975826263428,0.4331311583518982
mWA5_,0.08988974243402481,0.19241997599601746
