track,exp01_corr,exp01_lag,exp11_corr,exp11_lag
mBR0_,0.23437993104158522,-6,0.14812388298724058,15
mBR1_,0.2346831841216211,14,0.13326200328054563,4
mBR2_,0.22381584648384922,-14,0.17040232951220852,5
mBR3_,0.1640318785842932,-12,0.18414181577028543,-5
mBR4_,0.07878746810646496,-11,0.0948032754343019,-6
mBR5_,0.09232236893983728,-2,0.05785077132578764,-15
mHO0_,0.09774104325201173,5,0.14719720685997875,-11
mHO1_,0.12430834268769111,11,0.17641199529822518,-5
mHO2_,0.1537183043628782,-7,0.19682521246607937,9
mHO3_,0.12972525225785528,10,0.20903339751319064,14
mHO4_,0.07596245021347457,0,0.17818939524605074,11
mHO5_,0.13337289850733156,-5,0.20130965604929799,9
mJB0_,0.07134692888198953,15,0.2548532249720053,-10
mJB1_,0.07108580338955624,-8,0.3370638900644411,7
mJB2_,0.18612706035588922,14,0.20164669217837067,1
mJB3_,0.2716165357469251,11,0.10760960636971204,-15
mJB4_,0.14436105416088185,7,0.16148789589403154,-12
mJB5_,0.1319291570979775,6,0.22985355640324281,-4
mJS0_,0.07759018063049576,-9,0.17702473443550037,7
mJS1_,0.19767169337559792,2,0.3298019844333372,4
mJS2_,0.17923243673782716,-15,0.2626612551293484,2
mJS3_,0.11358346376497828,13,0.10659467447434237,7
mJS4_,0.1186264407326901,-1,0.22731956916136567,5
mJS5_,0.15432778475456077,13,0.09104655609272136,-3
mKR0_,0.08305267342825114,-15,0.1688520651314632,10
mKR1_,0.10387868638480673,-6,0.12706525024022802,-3
mKR2_,0.0740040640198312,-2,0.12554357773179783,14
mKR3_,0.19966768844990077,-8,0.14885193644801675,15
mKR4_,0.11841722479925489,15,0.2153690918603036,-12
mKR5_,0.12642306147856971,-1,0.21621756938164097,-3
mLH0_,0.17027425919249575,-7,0.052958981433199624,-2
mLH1_,0.4514060812820605,11,0.12860206979275596,9
mLH2_,0.12418829275208403,15,0.24491033463138429,9
mLH3_,0.16805413237366276,13,0.2767537723850393,-5
mLH4_,0.07963502127171843,3,0.1903649450959444,2
mLH5_,0.23780964708893318,5,0.12862693824544708,-1
mLO0_,0.17277283282013348,-12,0.24532075215521149,-8
mLO1_,0.20315990694766586,-7,0.09929588033616214,-14
mLO2_,0.11292783147913094,-6,0.17502299896598122,15
mLO3_,0.14698448087335883,1,0.122046671178931,12
mLO4_,0.10847151978059151,-15,0.13036862372403896,-14
mLO5_,0.12741628007007677,-7,0.15735643581970268,-5
mMH0_,0.10948626245422524,10,0.12371627358196045,-5
mMH1_,0.20791362799585228,-8,0.1761331158910535,4
mMH2_,0.21685908271042173,-13,0.14151959246001256,9
mMH3_,0.21906099378820537,2,0.11138001374744795,1
mMH4_,0.10638683831642565,13,0.18325777306267138,-4
mMH5_,0.18710470493907222,14,0.1505062930397792,0
mPO0_,0.16615130410631682,-12,0.24741671615653418,-14
mPO1_,0.2392794960256461,-2,0.3581563144484027,-11
mPO2_,0.1239715505062076,5,0.05521965572314165,-10
mPO3_,0.2509607504414746,11,0.13175294561083895,-9
mPO4_,0.07555427912493783,-2,0.15597274547988843,-12
mPO5_,0.16756604846238973,-1,0.173637818101658,-5
mWA0_,0.26108639240042675,-15,0.1802707740499119,1
mWA1_,0.1745763336713924,-3,0.3481472806519333,10
mWA2_,0.17010501863064034,3,0.2867359463417264,-12
mWA3_,0.24734114126885673,13,0.2859276448102172,2
mWA4_,0.09629804914683607,14,0.15059071614857755,7
mWA5_,0.018154755202830702,5,0.09485229133628831,-15
