track,exp01_corr,exp01_lag,exp12_corr,exp12_lag
mBR0_,0.23437993104158522,-6,0.14472728127666884,15
mBR1_,0.2346831841216211,14,0.11042567322507933,-3
mBR2_,0.22381584648384922,-14,0.12866752231959414,-3
mBR3_,0.1640318785842932,-12,0.07137916394007764,15
mBR4_,0.07878746810646496,-11,0.17332968376922145,-3
mBR5_,0.09232236893983728,-2,0.1334791735446558,-13
mHO0_,0.09774104325201173,5,0.19455966015912265,1
mHO1_,0.12430834268769111,11,0.1395545341452446,-6
mHO2_,0.1537183043628782,-7,0.11847632222084524,1
mHO3_,0.12972525225785528,10,0.18852722084521925,4
mHO4_,0.07596245021347457,0,0.13484069953859804,9
mHO5_,0.13337289850733156,-5,0.10473112914724171,15
mJB0_,0.07134692888198953,15,0.2631284237943158,10
mJB1_,0.07108580338955624,-8,0.09993241113950997,-7
mJB2_,0.18612706035588922,14,0.21712804723555285,1
mJB3_,0.2716165357469251,11,0.16684026076429373,-11
mJB4_,0.14436105416088185,7,0.18374656515803503,-8
mJB5_,0.1319291570979775,6,0.17798614293020645,-12
mJS0_,0.07759018063049576,-9,0.09850865172464776,-5
mJS1_,0.19767169337559792,2,0.154153213615701,15
mJS2_,0.17923243673782716,-15,0.1709703505163003,6
mJS3_,0.11358346376497828,13,0.31604377195942696,-8
mJS4_,0.1186264407326901,-1,0.2796144731587138,-7
mJS5_,0.15432778475456077,13,0.04699879015249807,-6
mKR0_,0.08305267342825114,-15,0.24825731020973688,-3
mKR1_,0.10387868638480673,-6,0.20991400788210607,-3
mKR2_,0.0740040640198312,-2,0.205431023379446,14
mKR3_,0.19966768844990077,-8,0.26047651667606964,-3
mKR4_,0.11841722479925489,15,0.20451706069503353,15
mKR5_,0.12642306147856971,-1,0.25912504228870464,13
mLH0_,0.17027425919249575,-7,0.22914302794016075,0
mLH1_,0.4514060812820605,11,0.17934640583569122,-12
mLH2_,0.12418829275208403,15,0.1690019497981662,-13
mLH3_,0.16805413237366276,13,0.307342277414234,0
mLH4_,0.07963502127171843,3,0.22719173193179762,-6
mLH5_,0.23780964708893318,5,0.1977251607362526,3
mLO0_,0.17277283282013348,-12,0.1549243637579606,10
mLO1_,0.20315990694766586,-7,0.09981844372081393,-4
mLO2_,0.11292783147913094,-6,0.16928831312067188,-6
mLO3_,0.14698448087335883,1,0.15253581925767853,-12
mLO4_,0.10847151978059151,-15,0.18789042709328038,6
mLO5_,0.12741628007007677,-7,0.1658347184334099,9
mMH0_,0.10948626245422524,10,0.16200025766365975,5
mMH1_,0.20791362799585228,-8,0.06940829943781711,-9
mMH2_,0.21685908271042173,-13,0.12109968296419814,-15
mMH3_,0.21906099378820537,2,0.14027604111492037,15
mMH4_,0.10638683831642565,13,0.1856299000144514,11
mMH5_,0.18710470493907222,14,0.09187490357998399,-14
mPO0_,0.16615130410631682,-12,0.17111585465564425,-3
mPO1_,0.2392794960256461,-2,0.12787543902335793,5
mPO2_,0.1239715505062076,5,0.12336949196649291,-3
mPO3_,0.2509607504414746,11,0.2006865071799239,-3
mPO4_,0.07555427912493783,-2,0.09725412939892317,-3
mPO5_,0.16756604846238973,-1,0.11064644264660305,0
mWA0_,0.26108639240042675,-15,0.26706244775003685,3
mWA1_,0.1745763336713924,-3,0.21010541470034907,14
mWA2_,0.17010501863064034,3,0.1551024936894029,13
mWA3_,0.24734114126885673,13,0.1664670465281332,-8
mWA4_,0.09629804914683607,14,0.14804483320466663,9
mWA5_,0.018154755202830702,5,0.15023042524517347,1
